id,relation,source,target
0-24florist.com_www.0-24florist.com,r_subdomain,0-24florist.com,www.0-24florist.com
0-24florist.com_23.80.106.67,r_dns_a,0-24florist.com,23.80.106.67
0-24florist.com_REDACTED FOR PRIVACY,r_whois_name,0-24florist.com,REDACTED FOR PRIVACY
www.0-24florist.com_23.80.106.67,r_dns_a,www.0-24florist.com,23.80.106.67
www.0-24florist.com_REDACTED FOR PRIVACY,r_whois_name,www.0-24florist.com,REDACTED FOR PRIVACY
23.80.106.67_23.80.106.0/24,r_cidr,23.80.106.67,23.80.106.0/24
cnjhjxsb.com_23.80.106.67,r_dns_a,cnjhjxsb.com,23.80.106.67
www.cnjhjxsb.com_23.80.106.67,r_dns_a,www.cnjhjxsb.com,23.80.106.67
www.gxnnwd.com_23.80.106.67,r_dns_a,www.gxnnwd.com,23.80.106.67
gxnnwd.com_23.80.106.67,r_dns_a,gxnnwd.com,23.80.106.67
23.80.106.67_AS395954,r_asn,23.80.106.67,AS395954
cnjhjxsb.com_www.cnjhjxsb.com,r_subdomain,cnjhjxsb.com,www.cnjhjxsb.com
gxnnwd.com_www.gxnnwd.com,r_subdomain,gxnnwd.com,www.gxnnwd.com
www.gxnnwd.com_REDACTED FOR PRIVACY,r_whois_name,www.gxnnwd.com,REDACTED FOR PRIVACY
gxnnwd.com_REDACTED FOR PRIVACY,r_whois_name,gxnnwd.com,REDACTED FOR PRIVACY
academiasolma.com_REDACTED FOR PRIVACY,r_whois_name,academiasolma.com,REDACTED FOR PRIVACY
tobie.world_REDACTED FOR PRIVACY,r_whois_name,tobie.world,REDACTED FOR PRIVACY
bliuxue.com_REDACTED FOR PRIVACY,r_whois_name,bliuxue.com,REDACTED FOR PRIVACY
www.bliuxue.com_REDACTED FOR PRIVACY,r_whois_name,www.bliuxue.com,REDACTED FOR PRIVACY
www.slimdoo-shop.com_REDACTED FOR PRIVACY,r_whois_name,www.slimdoo-shop.com,REDACTED FOR PRIVACY
punkfamily.com_REDACTED FOR PRIVACY,r_whois_name,punkfamily.com,REDACTED FOR PRIVACY
2619nv.com_REDACTED FOR PRIVACY,r_whois_name,2619nv.com,REDACTED FOR PRIVACY
www.punkfamily.com_REDACTED FOR PRIVACY,r_whois_name,www.punkfamily.com,REDACTED FOR PRIVACY
1760so.com_REDACTED FOR PRIVACY,r_whois_name,1760so.com,REDACTED FOR PRIVACY
